Course ID,Subject,Catalog,Rq Group,Description_Short,Descripiton_Long
61976,BIO,750,12516,PQ BIO 312 AND BIO 352,PQ BIO 312 AND BIO 352
61977,BIO,751,12516,PQ BIO 312 AND BIO 352,PQ BIO 312 AND BIO 352
61978,BIO,760,15041,PQ BIO 312,PQ BIO 312
61979,BIO,761,32043,PQ MTH 230 & one 300 Level Bio,Pre-requisite MTH 230 and one 300 Level Biology course.
61980,BIO,771,32044,PQ BIO 272 & basic computer kn,Pre-requsite BIO 272 & basic computer knowledge
61981,BIO,780,32045,PQ BIO 205 and BIO 213 or BIO215,Pre-requisite BIO 205 and BIO 213 or BIO 215
61982,BIO,781,32046,PQ BIO 205 and BIO 370 or equi,Pre-requisite BIO 205 and BIO 370 or equivalents.
61983,BIO,782,32048,"PQ BIO 205, BIO 332 & CHM 256",Pre-requisites BIO 205 and BIO 332 and CHM 256 or equivalents.
61984,BIO,783,32049,PQ BIO 434 and BIO 605 or equi,Pre-requisite BIO 434 and BIO 605 or equivalents.
61985,BIO,799,12503,PQ GRADUATE STUDENTS ONLY,PQ GRADUATE STUDENTS ONLY
61988,BIO,803,12503,PQ GRADUATE STUDENTS ONLY,PQ GRADUATE STUDENTS ONLY
61993,BIO,894,12503,PQ GRADUATE STUDENTS ONLY,PQ GRADUATE STUDENTS ONLY
